Utført dato;Bokført dato;Rentedato;Beskrivelse;Type;Undertype;Fra konto;Avsender;Til konto;Mottakernavn;Beløp inn;Beløp ut;Valuta;Status;Melding/KID/Fakt.nr
01.07.2026;01.07.2026;01.07.2026;Lønn Eksempel AS;Lønn;;;Eksempel AS;1234 56 78903;;35000.00;;NOK;Bekreftet;Lønn juni
01.07.2026;01.07.2026;01.07.2026;Husleie juli;Nettgiro;;1234 56 78903;Brukskonto;9876 54 32109;Utleier AS;;-12000.00;NOK;Bekreftet;Husleie juli
02.07.2026;02.07.2026;02.07.2026;*1234 02.07 NOK 486.50 KIWI STORGATA Kurs: 1.0000;Varekjøp;;1234 56 78903;Brukskonto;;;;-486.50;NOK;Bekreftet;*1234 02.07 NOK 486.50 KIWI STORGATA Kurs: 1.0000
03.07.2026;03.07.2026;03.07.2026;*1234 03.07 NOK 199.00 SPOTIFY Kurs: 1.0000;Varekjøp;;1234 56 78903;Brukskonto;;;;-199.00;NOK;Bekreftet;*1234 03.07 NOK 199.00 SPOTIFY Kurs: 1.0000
05.07.2026;05.07.2026;05.07.2026;*1234 04.07 NOK 812.30 REMA 1000 SENTRUM Kurs: 1.0000;Varekjøp;;1234 56 78903;Brukskonto;;;;-812.30;NOK;Bekreftet;*1234 04.07 NOK 812.30 REMA 1000 SENTRUM Kurs: 1.0000
07.07.2026;07.07.2026;07.07.2026;Strøm juni;Avtalegiro;;1234 56 78903;Brukskonto;9876 54 32110;Kraftleverandøren AS;;-890.00;NOK;Bekreftet;Faktura 123456
08.07.2026;08.07.2026;08.07.2026;*1234 07.07 NOK 645.00 CIRCLE K HOVEDVEIEN Kurs: 1.0000;Varekjøp;;1234 56 78903;Brukskonto;;;;-645.00;NOK;Bekreftet;*1234 07.07 NOK 645.00 CIRCLE K HOVEDVEIEN Kurs: 1.0000
10.07.2026;10.07.2026;10.07.2026;Vipps*Kafé Eksempel;Varekjøp;;1234 56 78903;Brukskonto;;;;-145.00;NOK;Bekreftet;Vipps*Kafé Eksempel
12.07.2026;12.07.2026;12.07.2026;*1234 11.07 NOK 1249.00 ELKJOP NETTBUTIKK Kurs: 1.0000;Varekjøp;;1234 56 78903;Brukskonto;;;;-1249.00;NOK;Bekreftet;*1234 11.07 NOK 1249.00 ELKJOP NETTBUTIKK Kurs: 1.0000
14.07.2026;14.07.2026;14.07.2026;*1234 13.07 NOK 534.20 COOP EXTRA TORGET Kurs: 1.0000;Varekjøp;;1234 56 78903;Brukskonto;;;;-534.20;NOK;Bekreftet;*1234 13.07 NOK 534.20 COOP EXTRA TORGET Kurs: 1.0000
15.07.2026;15.07.2026;15.07.2026;Overføring til sparekonto;Overføring;;1234 56 78903;Brukskonto;1234 56 78911;Sparekonto;;-3000.00;NOK;Bekreftet;Fast sparing
16.07.2026;16.07.2026;16.07.2026;Retur ELKJOP NETTBUTIKK;Varekjøp;;;ELKJOP NETTBUTIKK;1234 56 78903;;1249.00;;NOK;Bekreftet;Retur ordre 998877
18.07.2026;18.07.2026;18.07.2026;*1234 17.07 NOK 322.90 KIWI STORGATA Kurs: 1.0000;Varekjøp;;1234 56 78903;Brukskonto;;;;-322.90;NOK;Bekreftet;*1234 17.07 NOK 322.90 KIWI STORGATA Kurs: 1.0000
20.07.2026;20.07.2026;20.07.2026;Mobilabonnement;Avtalegiro;;1234 56 78903;Brukskonto;9876 54 32111;Teleselskapet AS;;-329.00;NOK;Bekreftet;Faktura 654321
22.07.2026;22.07.2026;22.07.2026;*1234 21.07 NOK 758.40 REMA 1000 SENTRUM Kurs: 1.0000;Varekjøp;;1234 56 78903;Brukskonto;;;;-758.40;NOK;Bekreftet;*1234 21.07 NOK 758.40 REMA 1000 SENTRUM Kurs: 1.0000
25.07.2026;25.07.2026;25.07.2026;Vipps*Treningssenteret;Varekjøp;;1234 56 78903;Brukskonto;;;;-449.00;NOK;Bekreftet;Vipps*Treningssenteret
27.07.2026;27.07.2026;27.07.2026;*1234 26.07 NOK 289.50 COOP EXTRA TORGET Kurs: 1.0000;Varekjøp;;1234 56 78903;Brukskonto;;;;-289.50;NOK;Bekreftet;*1234 26.07 NOK 289.50 COOP EXTRA TORGET Kurs: 1.0000
29.07.2026;29.07.2026;29.07.2026;Forsikring bil;Avtalegiro;;1234 56 78903;Brukskonto;9876 54 32112;Forsikringsselskapet AS;;-1150.00;NOK;Bekreftet;Polise 112233
31.07.2026;31.07.2026;31.07.2026;*1234 30.07 NOK 412.80 KIWI STORGATA Kurs: 1.0000;Varekjøp;;1234 56 78903;Brukskonto;;;;-412.80;NOK;Bekreftet;*1234 30.07 NOK 412.80 KIWI STORGATA Kurs: 1.0000
